electrical_capacity;energy_source_level_1;energy_source_level_2;energy_source_level_3;technology;data_source;nuts_1_region;nuts_2_region;nuts_3_region;lon;lat;municipality;municipality_code;postcode;address;federal_state;commissioning_date;decommissioning_date;voltage_level;eeg_id;dso;dso_id;tso
0.08;Renewable energy;Bioenergy;Sewage and landfill gas;Sewage and landfill gas;TransnetBW;DE1;DE13;DE135;8.578018405;48.29242877;Oberndorf;8325045.0;78727.0;;Baden-Württemberg;1900-01-02;;medium voltage;;Netze BW GmbH;10000843.0;TransnetBW
0.015;Renewable energy;Hydro;;Run-of-river;TenneT;DE2;DE25;DE25C;10.88156233;48.96399433;;9577173.0;91757.0;;Brandenburg;1901-01-01;;low voltage;;Stadtwerke Treuchtlingen;10001282.0;TenneT
0.055;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE1;DE14;DE148;9.664272955;47.84613128;Baienfurt;8436011.0;88255.0;;Baden-Württemberg;1901-01-01;;low voltage / medium voltage;;Netze BW GmbH;10000843.0;TransnetBW
0.12;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE1;DE14;DE148;9.664272955;47.84613128;Baienfurt;8436011.0;88255.0;;Baden-Württemberg;1901-01-01;;low voltage;;Netze BW GmbH;10000843.0;TransnetBW
0.044;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE1;DE12;DE128;8.775570795;49.35553908;Bammental;8125005.0;69245.0;;Baden-Württemberg;1901-07-01;;low voltage;;Syna GmbH;10001495.0;TransnetBW
0.08;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE1;DE12;DE128;8.775570795;49.35553908;Bammental;8125005.0;69245.0;;Baden-Württemberg;1901-11-01;;low voltage;;Syna GmbH;10001495.0;TransnetBW
0.05;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE1;DE11;DE11A;9.853297113;49.16269351;Unterscheffach;8127099.0;74549.0;;Baden-Württemberg;1904-01-01;;low voltage;;Elektrizitätswerk Ley;10000358.0;TransnetBW
0.0075;Renewable energy;Hydro;;Run-of-river;50Hertz;DED;DED2;DED2E;13.44652411;51.09284122;;14627020.0;1665.0;;Sachsen;1905-01-01;;low voltage;;ENSO NETZ GmbH;10001874.0;50Hertz
0.055;Renewable energy;Hydro;;Run-of-river;Amprion;DEA;DEA2;DEA24;7.040958034;51.07514643;Leverkusen;5316000.0;51381.0;;Nordrhein-Westfalen;1905-01-01;;low voltage;;Rheinische NETZGesellschaft mbH;10001817.0;Amprion
0.7;Renewable energy;Hydro;;Run-of-river;Amprion;DEA;DEA2;DEA2A;7.430415864;50.98411445;Engelskirchen;5374008.0;51766.0;;Nordrhein-Westfalen;1905-04-10;;medium voltage;;Rheinische NETZGesellschaft mbH;10001817.0;Amprion
1.2;Renewable energy;Hydro;;Run-of-river;Amprion;DEA;DEA2;DEA2A;7.430415864;50.98411445;Engelskirchen;5374008.0;51766.0;;Nordrhein-Westfalen;1905-04-15;;medium voltage;;Rheinische NETZGesellschaft mbH;10001817.0;Amprion
0.8;Renewable energy;Hydro;;Run-of-river;Amprion;DEA;DEA2;DEA2A;7.430415864;50.98411445;Engelskirchen;5374008.0;51766.0;;Nordrhein-Westfalen;1905-04-16;;medium voltage;;Rheinische NETZGesellschaft mbH;10001817.0;Amprion
0.04;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE1;DE14;DE144;9.979264573;48.43354223;Ulm;8421000.0;89081.0;;Baden-Württemberg;1905-04-19;;medium voltage;;Stadtwerke Ulm/Neu-Ulm Netze GmbH;10001254.0;TransnetBW
0.4;Renewable energy;Hydro;;Run-of-river;Amprion;DEA;DEA2;DEA2A;7.430415864;50.98411445;Engelskirchen;5374008.0;51766.0;;Nordrhein-Westfalen;1905-04-22;;medium voltage;;Rheinische NETZGesellschaft mbH;10001817.0;Amprion
0.055;Renewable energy;Hydro;;Run-of-river;Amprion;DE2;DE27;DE272;10.62483932;47.88362047;Kaufbeuren;9762000.0;87600.0;;Bayern;1905-05-04;;low voltage;;Vereinigte Wertach-Elektrizitätswerke GmbH;10000140.0;Amprion
0.56;Renewable energy;Hydro;;Run-of-river;Amprion;DEA;DEA2;DEA2A;7.430415864;50.98411445;Engelskirchen;5374008.0;51766.0;;Nordrhein-Westfalen;1905-05-08;;medium voltage;;Rheinische NETZGesellschaft mbH;10001817.0;Amprion
0.09;Renewable energy;Hydro;;Run-of-river;TransnetBW;DE2;DE26;DE26C;9.95438309;49.51209447;Röttingen / Röttingen;9679182.0;97285.0;;Bayern;1905-06-26;;low voltage;;Versorgungsbetriebe Röttingen;10001075.0;TransnetBW
1.053;Renewable energy;Bioenergy;Biomass and biogas;Biomass and biogas;TransnetBW;DE2;DE27;DE27D;10.63753985;48.8439812;Alerheim;8115010.0;86733.0;;Bayern;1905-06-27;;medium voltage;;Netzgesellschaft Ostwürttemberg DonauRies GmbH;10002974.0;TransnetBW
0.03;Renewable energy;Hydro;;Run-of-river;TenneT;DE2;DE21;DE21K;12.01591182;47.87472388;;9187117.0;83043.0;;Brandenburg;1906-01-01;;low voltage;;Stadtwerke Bad Aibling;10001093.0;TenneT
0.175;Renewable energy;Hydro;;Run-of-river;TenneT;DEF;DEF0;DEF0B;10.02769268;54.34292716;Quarnbek;1058130.0;24107.0;;Saarland;1906-01-01;;medium voltage;;SW Kiel Netz GmbH;10001113.0;TenneT
